Gene,meanTumor,meanControl,Pvalue,Log2FC
ENSG00000213335,0.014669448619942559,0.04057445889223446,0.33601215278170377,-0.025905010272291903
ENSG00000216347,0.0,0.05308021868004483,0.029147436461310437,-0.05308021868004483
ENSG00000220773,0.1010722494826021,0.017809279139310567,0.14914167851279939,0.08326297034329153
ENSG00000220635,0.0,0.0,1.0,0.0
ENSG00000251946,0.0,0.0,1.0,0.0
ENSG00000224984,0.0,0.0,1.0,0.0
ENSG00000168143,0.0,0.0,1.0,0.0
ENSG00000261116,0.0,0.0,1.0,0.0
ENSG00000137252,0.0,0.0,1.0,0.0
ENSG00000187871,0.02259015410012598,0.0,0.17780780835622126,0.02259015410012598
ENSG00000146151,0.0,0.0,1.0,0.0
ENSG00000220725,0.0,0.0,1.0,0.0
ENSG00000112175,0.0,0.0,1.0,0.0
ENSG00000214604,0.0,0.010372951756960118,0.541469739275585,-0.010372951756960118
ENSG00000124749,0.0,0.0,1.0,0.0
ENSG00000219095,0.0,0.0,1.0,0.0
ENSG00000227602,0.0,0.0,1.0,0.0
ENSG00000220666,0.0,0.0,1.0,0.0
ENSG00000266793,0.0,0.0,1.0,0.0
ENSG00000151914,2.4653961566236733,0.7986473596902948,0.01858219164999103,1.6667487969333785
ENSG00000231441,0.0,0.0,1.0,0.0
ENSG00000216854,0.14141834263802305,0.09889880860355484,0.5401895310908748,0.04251953403446822
ENSG00000200224,0.0,0.0,1.0,0.0
ENSG00000151917,0.0,0.0,1.0,0.0
ENSG00000219790,0.20345445446379556,0.039546295171263526,0.10359490318263623,0.16390815929253205
ENSG00000218980,0.014669448619942559,0.009671489623543316,0.7841602099265805,0.004997958996399243
ENSG00000276576,0.24810690017960113,0.44126142550781583,0.2778516302888451,-0.1931545253282147
ENSG00000168116,3.8196517293526147,4.2299681996472405,0.6576634372525297,-0.4103164702946258
ENSG00000112200,3.513987379151615,3.5122337821834577,0.9967091864576831,0.001753596968157467
ENSG00000226803,0.5634273663043865,0.29786058290827744,0.6394314938965218,0.26556678339610906
ENSG00000112208,3.319224320009889,4.309066892510475,0.08970636130129268,-0.9898425725005859
ENSG00000112210,0.9835825543126593,0.288127310479691,0.39282551529960563,0.6954552438329683
ENSG00000146143,3.3957545609357105,3.217252998780846,0.774778543135537,0.17850156215486468
ENSG00000212017,0.0,0.0,1.0,0.0
ENSG00000266579,0.0,0.0,1.0,0.0
ENSG00000283453,0.13552453432747566,0.30971141355441467,0.5134104547288292,-0.174186879226939
ENSG00000277172,0.02259015410012598,0.010372951756960118,0.5888542355655406,0.012217202343165864
ENSG00000275773,0.0,0.0,1.0,0.0
ENSG00000274844,0.0,0.0,1.0,0.0
ENSG00000276290,0.0,0.009671489623543316,0.541469739275585,-0.009671489623543316
ENSG00000272541,0.0,0.0,1.0,0.0
ENSG00000271761,0.08384991934052094,0.0,0.17780780835622126,0.08384991934052094
ENSG00000272316,0.22293369167987828,0.14655959915320482,0.6692038572528675,0.07637409252667346
ENSG00000239650,0.0,0.0,1.0,0.0
ENSG00000283352,0.0,0.0,1.0,0.0
ENSG00000218189,0.0,0.0,1.0,0.0
ENSG00000215190,0.5921354143591392,1.5080324818002304,0.2721050138518108,-0.9158970674410912
ENSG00000225096,0.0,0.0,1.0,0.0
ENSG00000214563,0.0,0.0,1.0,0.0
ENSG00000216687,0.0,0.007436327382350448,0.5414697392755848,-0.007436327382350448
ENSG00000214561,0.04449429068414344,0.035705904315844285,0.8649444261669962,0.008788386368299157
ENSG00000275046,0.0,0.0,1.0,0.0
ENSG00000220030,0.0,0.0,1.0,0.0
ENSG00000221606,0.0,0.0,1.0,0.0
ENSG00000255633,0.05696854286793318,0.09523983913282286,0.6010840153410393,-0.038271296264889676
ENSG00000250686,0.0,0.0,1.0,0.0
ENSG00000112232,0.0,0.0,1.0,0.0
ENSG00000216859,0.0,0.0,1.0,0.0
ENSG00000217067,0.0,0.02439391529258244,0.32993352351072974,-0.02439391529258244
ENSG00000262566,0.0,0.0,1.0,0.0
ENSG00000216072,0.0,0.0,1.0,0.0
ENSG00000264410,0.0,0.0,1.0,0.0
ENSG00000266682,0.0,0.0,1.0,0.0
ENSG00000217477,0.0,0.0,1.0,0.0
ENSG00000198225,0.18297818259393187,0.24463302269806259,0.735976813377073,-0.06165484010413072
ENSG00000219940,0.0,0.0,1.0,0.0
ENSG00000218520,0.0,0.0,1.0,0.0
ENSG00000146166,0.0,0.0,1.0,0.0
ENSG00000218617,0.0,0.0,1.0,0.0
ENSG00000218274,0.0,0.0,1.0,0.0
ENSG00000218048,0.4078456746878288,0.0,0.17780780835622126,0.4078456746878288
ENSG00000225121,0.014669448619942559,0.0,0.17780780835622126,0.014669448619942559
ENSG00000112245,5.654068058161117,3.6326667070207828,0.13631103761006388,2.0214013511403346
ENSG00000213312,0.20340207339607622,0.15928606483872107,0.04621143189736151,0.044116008557355146
ENSG00000266680,0.0,0.0,1.0,0.0
ENSG00000262651,0.0,0.0,1.0,0.0
ENSG00000213309,0.48154732395920136,0.26084014234051817,0.004089373064165947,0.2207071816186832
ENSG00000118482,5.202284967390536,4.911826522909198,0.5077818005917798,0.29045844448133806
ENSG00000188107,0.0,0.29322299989959655,0.541469739275585,-0.29322299989959655
ENSG00000218813,0.0,0.0,1.0,0.0
ENSG00000236345,0.0,0.0,1.0,0.0
ENSG00000219653,0.0,0.0,1.0,0.0
ENSG00000232120,0.0,0.0,1.0,0.0
ENSG00000217811,0.0,0.0,1.0,0.0
ENSG00000243828,0.0,0.0,1.0,0.0
ENSG00000221312,0.0,0.0,1.0,0.0
ENSG00000214558,0.014669448619942559,0.009671489623543316,0.7841602099265805,0.004997958996399243
ENSG00000265187,0.0,0.0,1.0,0.0
ENSG00000220483,0.0,0.0,1.0,0.0
ENSG00000233859,0.7428007516514923,1.1935169180436465,0.07712804008414387,-0.45071616639215417
ENSG00000218890,0.0,0.049485120413596,0.43103507854374684,-0.049485120413596
ENSG00000221281,0.0,0.0,1.0,0.0
ENSG00000270521,0.029046512885279034,0.010372951756960118,0.4736343256801909,0.018673561128318916
ENSG00000238949,0.0,0.0,1.0,0.0
ENSG00000266073,0.0,0.0,1.0,0.0
ENSG00000212229,0.0,0.0,1.0,0.0
ENSG00000271111,0.0,0.0,1.0,0.0
ENSG00000251965,0.0,0.0,1.0,0.0
ENSG00000201015,0.0,0.0,1.0,0.0
ENSG00000206672,0.0,0.0,1.0,0.0
ENSG00000227706,0.0,0.0,1.0,0.0
ENSG00000270509,0.0,0.009671489623543316,0.541469739275585,-0.009671489623543316
ENSG00000223504,0.0,0.0,1.0,0.0
ENSG00000226497,0.0,0.0,1.0,0.0
ENSG00000266675,0.0,0.0,1.0,0.0
ENSG00000218834,0.0,0.0,1.0,0.0
ENSG00000230910,0.0,0.0,1.0,0.0
ENSG00000135298,0.0,0.0,1.0,0.0
ENSG00000265498,0.0,0.0,1.0,0.0
ENSG00000265362,0.0,0.0,1.0,0.0
ENSG00000168216,5.26881997396918,6.470896627253668,0.0015225406286089992,-1.2020766532844886
ENSG00000219085,0.5363753872719444,0.23415287763611806,0.07400741827790355,0.3022225096358264
ENSG00000219881,0.014669448619942559,0.0,0.17780780835622126,0.014669448619942559
ENSG00000082293,0.0,0.009671489623543316,0.541469739275585,-0.009671489623543316
ENSG00000216365,0.06573277481828434,0.017809279139310567,0.07690114948820768,0.04792349567897377
ENSG00000112280,0.0,0.0,1.0,0.0
ENSG00000253809,0.0,0.0,1.0,0.0
ENSG00000237643,0.0,0.0,1.0,0.0
ENSG00000224349,0.6120539014317924,0.2653771579237196,0.5604852691673067,0.3466767435080728
ENSG00000082269,2.507622532348046,1.1416464519188714,0.30002142846779944,1.3659760804291747
ENSG00000238386,0.0,0.0,1.0,0.0
ENSG00000154079,4.912627062429326,3.275763793496968,0.005379387162321839,1.6368632689323581
ENSG00000271967,0.0,0.12353601116745826,0.5414697392755848,-0.12353601116745826
ENSG00000232389,0.04314262071815836,0.03328836060554578,0.7810559446719207,0.009854260112612576
ENSG00000218870,0.0,0.0,1.0,0.0
ENSG00000112305,2.2937879890009487,1.4405725106721567,0.08443859791681115,0.853215478328792
ENSG00000262803,0.0,0.0,1.0,0.0
ENSG00000217767,0.0,0.0,1.0,0.0
ENSG00000112309,1.7433305414270066,1.487771408628942,0.7942774884196615,0.25555913279806464
ENSG00000219669,0.0,0.0,1.0,0.0
ENSG00000221345,0.0,0.0,1.0,0.0
ENSG00000218350,0.4440226396472532,0.26994533515666497,0.22438942129150818,0.17407730449058822
ENSG00000207180,0.0,0.0,1.0,0.0
ENSG00000232295,0.0,0.07566601100473302,0.541469739275585,-0.07566601100473302
ENSG00000276127,0.0,0.0,1.0,0.0
ENSG00000119900,1.9812279222692344,1.7988275400508256,0.8574876608360499,0.18240038221840882
ENSG00000269966,0.0,0.0,1.0,0.0
ENSG00000230597,0.0,0.0,1.0,0.0
ENSG00000233237,0.0,0.0,1.0,0.0
ENSG00000279312,0.0,0.0,1.0,0.0
ENSG00000199094,0.0,0.0,1.0,0.0
ENSG00000279289,0.0,0.0,1.0,0.0
ENSG00000207827,0.0,0.0,1.0,0.0
ENSG00000223765,0.0,0.0,1.0,0.0
ENSG00000212099,0.0,0.0,1.0,0.0
ENSG00000219575,0.0,0.0,1.0,0.0
ENSG00000218014,0.0,0.0,1.0,0.0
ENSG00000211530,0.0,0.0,1.0,0.0
ENSG00000202069,0.0,0.0,1.0,0.0
ENSG00000079841,0.0,0.0,1.0,0.0
ENSG00000264447,0.0,0.0,1.0,0.0
ENSG00000218732,0.0,0.0,1.0,0.0
ENSG00000217483,0.0,0.0,1.0,0.0
ENSG00000181514,0.0,0.0,1.0,0.0
ENSG00000185760,2.8239377295190575,0.8382475641860236,0.07602376092981407,1.9856901653330339
ENSG00000233844,0.1816187072915482,0.009671489623543316,0.20003768289286772,0.1719472176680049
ENSG00000266180,0.0,0.0,1.0,0.0
ENSG00000232422,0.0,0.0,1.0,0.0
ENSG00000220515,0.0,0.010372951756960118,0.541469739275585,-0.010372951756960118
ENSG00000229154,0.39937658738870563,0.0,0.17780780835622126,0.39937658738870563
ENSG00000234025,0.0,0.0,1.0,0.0
ENSG00000251360,0.0,0.0,1.0,0.0
ENSG00000243501,0.0,0.0,1.0,0.0
ENSG00000256980,0.0,0.0,1.0,0.0
ENSG00000135314,2.912765213013704,1.331480094776985,0.053891498698011714,1.581285118236719
ENSG00000263378,0.0,0.0,1.0,0.0
ENSG00000229852,1.8000699738113437,2.0962723749822554,0.8150014990409803,-0.2962024011709117
ENSG00000239626,0.0,0.11598599435442965,0.541469739275585,-0.11598599435442965
ENSG00000234882,0.5347281123036878,0.6515974882679642,0.5634668057377308,-0.11686937596427638
ENSG00000223389,0.0,0.0,1.0,0.0
ENSG00000226840,0.0,0.0,1.0,0.0
ENSG00000203909,0.0,0.0,1.0,0.0
ENSG00000203908,0.0,0.0,1.0,0.0
ENSG00000203907,0.0,0.0,1.0,0.0
ENSG00000231332,0.0,0.0,1.0,0.0
ENSG00000235174,4.511106370735039,4.675086744663165,0.4297138804367284,-0.16398037392812626
ENSG00000224221,0.014669448619942559,0.0,0.17780780835622126,0.014669448619942559
ENSG00000238464,0.0,0.0,1.0,0.0
ENSG00000080007,1.210119958805538,1.0268076125941061,0.8614957540129402,0.1833123462114319
ENSG00000164430,3.1743676699461876,2.0451053093795304,0.39162660103764835,1.1292623605666572
ENSG00000266346,0.0,0.0,1.0,0.0
ENSG00000135297,5.02722764882558,4.445692812667832,0.26553682770417353,0.5815348361577479
ENSG00000207023,0.0,0.0,1.0,0.0
ENSG00000264609,0.0,0.0,1.0,0.0
ENSG00000271986,0.0,0.0,1.0,0.0
ENSG00000223821,0.0,0.031666255773072964,0.5414697392755848,-0.031666255773072964
ENSG00000156508,12.462117780376202,11.491668679801604,0.05642787843599036,0.9704491005745979
ENSG00000229862,0.0,0.0423201439618824,0.3129667532083256,-0.0423201439618824
ENSG00000223967,0.0,0.0,1.0,0.0
ENSG00000119899,2.5795019893181284,2.4946591908133082,0.8927688138851058,0.08484279850482013
